median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 230.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 230.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 230.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 230.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 266.6666666666667, 105.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 266.6666666666667, 105.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 128.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 128.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 200.0, dl throughput:400.0, 400.0, 200.0, median ul mbs throughput:400.0, 400.0, 200.0, dl mbsthroughput:400.0, 400.0, 200.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:359.99999999999994, 80.0, 42.0, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:359.99999999999994, 80.0, 42.0, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 400.0, dl throughput:400.0, 200.0, 73.33333333333334, median ul mbs throughput:400.0, 400.0, 400.0, dl mbsthroughput:400.0, 200.0, 73.33333333333334, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 400.0, 128.0, dl throughput:329.9999999999999, 75.0, 41.55555555555556, median ul mbs throughput:400.0, 400.0, 128.0, dl mbsthroughput:329.9999999999999, 75.0, 41.55555555555556, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
median ul throughput:400.0, 133.33333333333334, 30.769230769230766, dl throughput:400.0, 400.0, 400.0, median ul mbs throughput:400.0, 133.33333333333334, 30.769230769230766, dl mbsthroughput:400.0, 400.0, 400.0, median ul sbs throughput:0, 0, 0, dl sbs throughput:0, 0, 0
