new_bs, i, j, sinr: 7, 4030, -40450, 20.412663
new_bs, i, j, sinr: 7, 4030, -40440, 20.369879
new_bs, i, j, sinr: 7, 4030, -40430, 20.327349
new_bs, i, j, sinr: 7, 4030, -40420, 20.285109
new_bs, i, j, sinr: 7, 4030, -40410, 20.243190
new_bs, i, j, sinr: 7, 4040, -41100, 20.053877
new_bs, i, j, sinr: 7, 4040, -41090, 20.094749
new_bs, i, j, sinr: 7, 4040, -41080, 20.136091
new_bs, i, j, sinr: 7, 4040, -41070, 20.177894
new_bs, i, j, sinr: 7, 4040, -41060, 20.220147
new_bs, i, j, sinr: 7, 4040, -41050, 20.262834
new_bs, i, j, sinr: 7, 4040, -41040, 20.305936
new_bs, i, j, sinr: 7, 4040, -41030, 20.349431
new_bs, i, j, sinr: 7, 4040, -41020, 20.393292
new_bs, i, j, sinr: 7, 4040, -41010, 20.437486
new_bs, i, j, sinr: 7, 4040, -41000, 20.481975
new_bs, i, j, sinr: 7, 4040, -40990, 20.526713
new_bs, i, j, sinr: 7, 4040, -40980, 20.571648
new_bs, i, j, sinr: 7, 4040, -40970, 20.616719
new_bs, i, j, sinr: 7, 4040, -40960, 20.661857
new_bs, i, j, sinr: 7, 4040, -40950, 20.706982
new_bs, i, j, sinr: 7, 4040, -40940, 20.752003
new_bs, i, j, sinr: 7, 4040, -40930, 20.796819
new_bs, i, j, sinr: 7, 4040, -40920, 20.841313
new_bs, i, j, sinr: 7, 4040, -40910, 20.885359
new_bs, i, j, sinr: 7, 4040, -40900, 20.928812
new_bs, i, j, sinr: 7, 4040, -40890, 20.971517
new_bs, i, j, sinr: 7, 4040, -40880, 21.013301
new_bs, i, j, sinr: 7, 4040, -40870, 21.053978
new_bs, i, j, sinr: 7, 4040, -40860, 21.093346
new_bs, i, j, sinr: 7, 4040, -40850, 21.131192
new_bs, i, j, sinr: 7, 4040, -40840, 21.167291
new_bs, i, j, sinr: 7, 4040, -40830, 21.201409
new_bs, i, j, sinr: 7, 4040, -40820, 21.233305
new_bs, i, j, sinr: 7, 4040, -40810, 21.262737
new_bs, i, j, sinr: 7, 4040, -40800, 21.289465
new_bs, i, j, sinr: 5, 4040, -40790, 12.014256
new_bs, i, j, sinr: 5, 4040, -40780, 12.090909
